,,,,,,,,,,,,,,,
,ppt,Precip (mm/mon),,,,,,,,,,,,,
IA,50,tmean,1976,-6.83,0.05,2.87,11.3,14.32,20.76,23.51,21.53,16.91,7.65,-0.77,-8
IA,50,tmean,1977,-14.11,-3.04,5.67,12.89,19.72,21.99,25.26,20.33,18.03,9.9,2.28,-6.36
IA,50,tmean,1978,-12.83,-11.31,-0.76,9.35,15.55,21.09,22.88,22.02,20.12,10.17,2.44,-6.66
IA,50,tmean,1979,-14.8,-11.98,-0.05,7.1,14.92,20.61,22.44,21.86,18.34,10.93,2.33,-1.69
IA,50,tmean,1980,-5.95,-7.31,-0.16,9.78,16.58,20.97,24.98,23.26,18.34,9.18,3.9,-4.08
IA,50,tmean,1981,-4.88,-2.51,4.27,12.52,14.58,21.42,23.12,21.09,17.36,9.55,4.93,-5.23
IA,50,tmean,1982,-13.68,-6.95,0.46,6.85,17.1,18.23,23.37,21.46,16.91,11.66,2.12,-1.39
IA,50,tmean,1983,-4.18,-1.57,2.51,6.08,13.41,21.11,25.19,25.89,18.26,10.83,3.86,-13.18
IA,50,tmean,1984,-7.94,0.09,-1.93,8.26,13.76,21.59,22.3,23.08,16.56,11.45,3.41,-3.16
IA,50,tmean,1985,-9.65,-7.17,4.69,11.94,17.53,19.29,22.74,20.19,17.87,10.5,-1.36,-11.75
IA,50,tmean,1986,-5.09,-6.88,3.99,11.37,16.12,22.11,24.21,19.8,18.79,10.98,-0.09,-3.36
IA,50,tmean,1987,-3.99,1.15,4.94,11.46,18.76,23.07,24.59,21.41,17.49,8.23,5.45,-1.94
IA,50,tmean,1988,-9.12,-7.41,3.36,9.19,18.73,23.57,24.46,25.03,18.49,7.96,3.26,-3.67
IA,50,tmean,1989,-1.69,-9.9,0.73,9.52,14.98,19.99,24.02,21.91,16.19,11.52,0.85,-10.02
IA,50,tmean,1990,-1.45,-2.45,4.11,8.95,13.61,21.23,22.7,22.32,19.42,10.4,5.37,-6.5
IA,50,tmean,1991,-10.67,-1.92,3.98,10.69,17.95,23.16,23.57,22.18,17.07,10.07,-2.07,-2.67
IA,50,tmean,1992,-2.78,-0.1,3.96,7.6,15.88,20.16,20.45,19.05,16.12,10.68,0.68,-4.46
IA,50,tmean,1993,-8.37,-7.33,-0.86,7.12,15.4,19.65,22.48,22.43,14.52,10.16,1.45,-3.39
IA,50,tmean,1994,-12.27,-8.71,3.09,9.68,15.84,21.83,21.64,20.58,18.05,12.34,4.36,-2.95
IA,50,tmean,1995,-8.24,-3.97,2.67,7.04,13.79,21.18,23.26,24.83,15.86,10.79,-1.01,-4.36
IA,50,tmean,1996,-8.76,-5.61,-1.3,7.6,13.55,20.77,21.68,21.27,16.12,11.2,-1.66,-6.75
IA,50,tmean,1997,-9.78,-3.96,2.78,6.94,12.26,21.65,23.17,20.96,18.07,11.14,0.41,-2.6
IA,50,tmean,1998,-5.14,1.13,-0.07,9.66,18.44,19.47,23.43,23.05,20.14,11.68,4.82,-1.41
IA,50,tmean,1999,-8.96,0.33,2.07,9.64,15.85,20.68,25.15,21.17,16.25,10.35,6.83,-2.99
IA,50,tmean,2000,-5.94,-0.02,6,9.52,17.23,19.94,22.28,22.57,18.44,12.87,0.42,-12.65
IA,50,tmean,2001,-6.58,-8.28,-1.82,11.3,15.95,20.19,24.02,22.71,16.16,9.91,9,-0.5
IA,50,tmean,2002,-1.8,-1.55,-0.68,8.96,13.99,22.43,24.67,21.41,18.5,8.05,1.19,-1.87
IA,50,tmean,2003,-7.42,-7.06,1.01,10.11,14.53,19.81,22.68,23.42,16.15,11.25,1.9,-2.15
IA,50,tmean,2004,-8.17,-5.73,4.6,10.2,15.85,19.49,21.3,18.98,18.98,10.84,4.56,-3.33
IA,50,tmean,2005,-7.74,-0.73,1.84,11.83,14.13,22.55,23.66,21.75,19.55,11.47,4.09,-7.44
IA,50,tmean,2006,-0.24,-4.29,2.17,11.82,15.69,21.2,24.32,22.39,15.53,8.88,4.02,-0.51
IA,50,tmean,2007,-5.97,-9.78,4.91,7.85,18.26,21.46,23.23,23.64,18.05,13.27,2.73,-6.6
IA,50,tmean,2008,-9.03,-8.86,-0.27,7.51,14.13,20.83,22.84,21,17.52,10.42,2.77,-8.24
IA,50,tmean,2009,-11.14,-3.38,2.79,8.09,15.47,20.6,20.14,20.4,17.46,7.17,6.35,-6.6
IA,50,tmean,2010,-10.46,-8.99,2.91,12.76,15.68,21.77,23.78,23.69,17.41,12.2,3.28,-7.19
IA,50,tmean,2011,-9.85,-5.22,1.22,8.25,15.1,20.95,25.61,22.31,15.76,11.9,4.16,-1.59
IA,50,tmean,2012,-3.12,-1.49,10.34,11.1,18.61,21.9,26.31,21.49,16.78,9.54,4.09,-2.6
IA,50,tmean,2013,-5.97,-4.83,-2.42,6.33,14.99,20.71,22.41,22.13,19.59,10.3,0.95,-8.19
IA,50,tmean,2014,-10.01,-11.12,-1.7,8.41,15.52,21.3,20.43,21.86,16.52,10.48,-1.71,-2.16
IA,50,tmean,2015,-6.08,-10.38,2.5,10.41,15.61,20.69,22.19,20.47,20.38,11.56,5.61,0.75
IA,50,tmin,1950,-13.49,-11.17,-5.65,0.18,9.41,14.22,14.75,14.25,10.47,7.12,-5.4,-12.43
IA,50,tmin,1951,-12.92,-9.72,-7.47,1.83,10.71,13.52,16.46,15.67,9.65,5.63,-6.27,-11.5
IA,50,tmin,1952,-12.44,-4.22,-4.45,3.08,9.17,17.09,17.45,15.1,10.51,0.19,-2.58,-7.21
IA,50,tmin,1953,-9.93,-7.26,-2.56,0.92,9.42,16.28,17.35,15.84,9.86,6.61,-1.1,-7.23
IA,50,tmin,1954,-13.77,-3.35,-5.13,4.4,6.57,17.05,18.74,16.49,12.79,5.76,-0.69,-6.28
IA,50,tmin,1955,-10.92,-11.2,-5.11,6.53,10.64,13.15,20.35,17.71,11.49,4.95,-6.39,-12.01
IA,50,tmin,1956,-12.4,-10.64,-4.95,0.83,9.86,16.61,16.06,16.65,9.56,7.4,-2.48,-7.53
IA,50,tmin,1957,-14.84,-6.21,-3.84,3.68,9.07,14.5,19.4,16.54,9.86,4.05,-2.59,-5.81
IA,50,tmin,1958,-8.48,-14.53,-3.52,3.09,9.29,12.82,15.81,16.3,11.66,5.55,-1.71,-11.99
IA,50,tmin,1959,-14.84,-11.72,-3.47,2.83,11.39,15.55,15.89,18.88,11.71,3.38,-7.3,-3.61
IA,50,tmin,1960,-11.3,-11.1,-12.15,4.43,9.11,13.66,16.01,16.59,12.28,4.2,-2.11,-10.26
IA,50,tmin,1961,-12.55,-7.46,-1.77,0.67,7.29,13.84,16.32,15.64,10.86,5.42,-1.96,-11.25
IA,50,tmin,1962,-15.89,-10.18,-7.26,1.65,13.08,14.38,16.19,15.39,9.12,6.81,-1.36,-9.57
IA,50,tmin,1963,-17.51,-13.35,-1.69,4.52,9.18,16,17.26,15.37,12.16,9.93,0.06,-14.87
IA,50,tmin,1964,-8.72,-8.56,-6.22,3.6,12.19,14.53,18.17,13.81,11.32,2.48,-0.62,-10.57
IA,50,tmin,1965,-13.47,-13.36,-9.62,2.84,11.57,14.4,16.6,14.86,10.03,5.37,-1.82,-4.54
IA,50,tmin,1966,-16.19,-10.99,-1.79,1.34,6.38,14.3,18.41,13.53,9.14,3.31,-2.85,-9.53
IA,50,tmin,1967,-10.92,-12.37,-2.78,3.86,6.88,14.93,14.9,13.38,8.68,3.92,-3.64,-7.06
IA,50,tmin,1968,-12.39,-11.42,-2.12,3.63,6.8,15.19,16.62,16.14,10.41,5.45,-2.82,-9.93
IA,50,tmin,1969,-14.19,-8.73,-8.67,3.72,9.81,12.07,18.03,16.02,11.22,3.52,-2.84,-9.56
IA,50,tmin,1970,-17.66,-10.65,-5.3,3.31,11.09,15.17,16.69,16.11,11.54,5.27,-2.03,-9.6
IA,50,tmin,1971,-15.67,-11.09,-4.69,2.75,7.09,17.56,15.17,13.89,11.47,8,-1.44,-6.98
IA,50,tmin,1972,-15,-14.53,-4.03,2,10.23,13.36,16.27,16.18,11.64,2.56,-2.49,-12.61
IA,50,tmin,1973,-10.95,-7.65,1.29,2.68,7.99,15.43,17.29,16.7,11.89,7.56,-1.33,-10.43
IA,50,tmin,1974,-13.26,-9.27,-3.12,3.77,8.61,12.99,18.36,14.22,7.52,3.87,-1.71,-7.75
IA,50,tmin,1975,-11.71,-10.75,-8.19,1.02,10.45,14.98,16.73,16.69,8.61,3.71,-0.41,-7.65
IA,50,tmin,1976,-13.34,-6.29,-2.59,4.54,7.57,13.8,16.7,14.23,8.81,0.43,-7.67,-14.88
IA,50,tmin,1977,-20.41,-10.28,-0.19,5.83,12.91,14.75,18.19,14.12,12.01,3.93,-2.91,-10.73
IA,50,tmin,1978,-18.12,-17.16,-6.15,3.55,9.54,14.47,17.04,15.32,13.05,3.34,-2.88,-11.53
IA,50,tmin,1979,-19.6,-17.71,-4.85,1.72,7.78,14.14,16.45,16.17,10.7,3.94,-2.63,-7.41
IA,50,tmin,1980,-10.32,-12.36,-5.48,2.73,9.3,14.46,18.13,16.99,11.24,2.57,-2.58,-9.24
IA,50,tmin,1981,-11.51,-8.78,-2.95,5.54,7.7,14.73,17.61,15.11,10.25,3.27,-0.29,-9.8
IA,50,tmin,1982,-19.36,-12,-4.52,0.52,11.84,12.05,17.44,15.7,11.09,5.36,-2.91,-5.89
IA,50,tmin,1983,-8.35,-5.59,-1.79,1.14,7.27,14.95,18.64,19.02,11.13,4.96,-0.22,-17.75
IA,50,tmin,1984,-12.96,-5.01,-6.26,3.03,7.47,15.5,15.71,16.05,9.51,5.64,-2.49,-8.84
IA,50,tmin,1985,-15.34,-12.03,-1.15,5.44,10.5,12.45,15.8,13.83,12.27,4.77,-5.86,-17.49
IA,50,tmin,1986,-10.2,-11.11,-1.97,4.85,10.19,16.09,18.6,13.93,13.25,5.33,-5.64,-7.23
IA,50,tmin,1987,-8.74,-5.43,-0.64,4.08,11.69,16.37,18.55,15.79,10.87,1.12,0.59,-5.54
IA,50,tmin,1988,-14.44,-13.12,-3.5,1.62,10.88,15.82,17.2,17.86,11.41,1.11,-2.3,-9.24
IA,50,tmin,1989,-6.63,-15.73,-4.61,2.68,7.79,13.73,17.76,15.79,9.48,4.27,-5.84,-15.51
IA,50,tmin,1990,-6.95,-8.52,-1.42,2.44,7.66,15.72,17.54,16.87,13.01,3.3,-0.93,-11.51
IA,50,tmin,1991,-15.81,-7.25,-1.9,4.91,12.92,17.5,17.28,16.21,10.39,3.32,-6.38,-7.02
IA,50,tmin,1992,-7.15,-3.94,-1.53,2.06,8.81,13.3,15.35,12.96,9.72,3.68,-2.41,-8.63
IA,50,tmin,1993,-13.07,-11.05,-4.97,1.56,9.92,14.14,17.92,17.42,8.93,4.06,-3.85,-7.78
IA,50,tmin,1994,-17.42,-14.21,-3.26,2.4,8.92,16.05,15.74,14.3,11.65,6.35,-0.96,-7.33
IA,50,tmin,1995,-12.38,-9.31,-2.61,1.07,8.05,15.73,17.15,19.13,9.02,4.47,-6.21,-8.64
IA,50,tmin,1996,-13.99,-10.96,-7.95,0.38,8.65,15.45,15.68,15.53,9.92,4.5,-5.79,-10.7
IA,50,tmin,1997,-15.01,-8.04,-3.12,0.65,5.73,15.15,17.46,15.3,11.45,4.68,-3.67,-5.83
IA,50,tmin,1998,-9.08,-2.51,-4.15,4.11,12.38,14.25,17.97,17.93,13.04,5.74,-0.27,-7.2
IA,50,tmin,1999,-13.25,-4.33,-4.02,4.28,10.46,15.46,19.46,15.39,8.71,2.34,-0.37,-8.74
IA,50,tmin,2000,-11.53,-5.32,-0.57,2.34,10.51,14,17.01,17.01,10.84,6.47,-4.37,-17.55
IA,50,tmin,2001,-11.19,-13.22,-6.41,4.29,10.53,14.41,18.3,16.67,9.91,3.31,2.64,-5.58
IA,50,tmin,2002,-7.77,-7.21,-6.81,2.56,7.32,16.41,18.81,15.43,11.28,2.37,-4.46,-7.87
IA,50,tmin,2003,-13.08,-13.35,-5.11,3.42,8.48,13.89,16.84,16.78,8.87,3.5,-3,-6.35
IA,50,tmin,2004,-13.26,-10.32,-0.58,2.6,9.8,13.85,15.87,13.14,11.7,4.79,-0.68,-8.74
IA,50,tmin,2005,-11.89,-5.4,-4.27,5.14,7.82,16.66,17.54,15.56,12.37,4.59,-1.92,-11.27
IA,50,tmin,2006,-4.44,-10.81,-3.19,4.92,9.83,14.69,18.24,17.1,9.46,3.07,-1.95,-5.57
IA,50,tmin,2007,-11.02,-14.24,-0.27,1.7,12.19,15.45,17.08,18.33,10.9,7.61,-3.26,-10.66
IA,50,tmin,2008,-13.82,-13.85,-5.15,1.97,7.65,15.07,17.21,14.75,11.46,4,-2.29,-13.83
IA,50,tmin,2009,-16.65,-9.04,-3.09,1.85,9.36,15.02,14.49,14.8,10.73,2.38,0.97,-11.06
IA,50,tmin,2010,-14.11,-14.08,-2.39,5.77,9.56,16.21,18.64,18.02,11.13,4.03,-2.44,-11.68
IA,50,tmin,2011,-14.76,-9.91,-4.12,2.19,8.87,15.81,20.28,16.27,9.18,4.06,-1.72,-6.53
IA,50,tmin,2012,-8.59,-6.56,3.78,4.33,11.7,15.59,19.49,14.16,8.33,2.93,-2.27,-7.86
IA,50,tmin,2013,-11.6,-9.66,-6.96,0.38,9.44,15.58,16.28,15.51,12.45,3.86,-4.61,-13.33
IA,50,tmin,2014,-16.34,-16.74,-7.21,1.52,9.38,15.88,14.87,17,10.26,4.09,-7.07,-5.43
IA,50,tmin,2015,-11.24,-15.91,-4.56,3.59,10.28,15.45,16.92,15.04,13.97,5.14,0.35,-2.83
IA,60,ppt,1950,62.44,36.94,27.05,117.3,79.24,174.94,107.93,39.27,55.43,9.29,25.91,30.63
IA,60,ppt,1951,22.48,63.72,114.66,105.74,144.93,127.76,132.21,116.01,50.81,122.13,57.32,36.45
IA,60,ppt,1952,39.7,15.65,98.6,42.34,87.14,115.56,70.69,102.11,21.75,0.46,108.3,49.99
IA,60,ppt,1953,20.35,64.54,81.94,61,76.27,113.25,95.63,37.55,34.1,12.39,22,50.77
IA,60,ppt,1954,8.95,28.02,57.8,121.69,78.57,142.79,42.63,173.37,57.09,135.23,10.08,44.01
IA,60,ppt,1955,29.45,35.93,30.22,115.8,80.99,78.53,63.71,55.41,92.67,58.57,5.96,14.77
IA,60,ppt,1956,11.62,22.56,17.3,83.85,109.52,49.27,104.2,142.29,30.58,25.54,45.02,24.16
IA,60,ppt,1957,20.83,17.09,45.97,77.99,134.71,83.06,92.12,114.01,44.74,59.39,62.39,57.89
IA,60,ppt,1958,26.68,7.37,10.8,56.91,43.94,130.4,140.12,78.77,78.33,59.51,54.08,10.15
IA,60,ppt,1959,32.88,38.51,97,112.06,141.66,97.63,105.91,95.21,106.99,128.59,57.01,59.47
IA,60,ppt,1960,101.64,42.29,39.34,98.29,142.19,119.77,100.54,83.76,77.35,103.28,54.79,14.52
IA,60,ppt,1961,7.73,33.63,111.44,48.94,37.85,104.35,168.22,88.3,226.06,92.84,128.15,41.1
IA,60,ppt,1962,29.39,49.96,53.8,52.04,163.59,62.32,178.42,53.98,51.5,90.09,19.47,14.55
IA,60,ppt,1963,17.32,11.67,70.96,85.28,52.24,37.34,175.13,86.32,59.05,14.67,64.78,16.6
IA,60,ppt,1964,11.37,13.8,49.93,124.4,81.04,144.98,85.03,82.99,71.12,1.14,44.03,24.14
IA,60,ppt,1965,64.2,21.31,66.83,154.78,103.42,86.34,98.07,176.59,240.02,33.95,46.16,68.16
IA,60,ppt,1966,33.42,20.84,53.27,78.22,128.36,154.66,80.05,34.77,40.3,63.07,29.41,45.74
IA,60,ppt,1967,31.73,20.37,50.32,112.39,51.64,152.27,63.67,127.79,117.62,135.13,45.71,30.29
IA,60,ppt,1968,14.85,8.07,29.22,99.71,70.85,128.25,80.32,99.78,148.16,44.08,34.89,59.36
IA,60,ppt,1969,64.57,9.73,27.74,96.14,89.96,227.12,187.39,58.4,54.73,99.85,12.78,35.26
IA,60,ppt,1970,10.79,8.14,69.75,68.06,167.75,110.27,119.34,95.73,232.07,66.02,33.72,38.05
IA,60,ppt,1971,35.33,64.09,27.11,44.55,66.9,102.99,121.77,27.84,85.14,58.22,79.69,98.95
IA,60,ppt,1972,15.64,22.22,54.31,128.28,112.16,112.87,145.22,164.23,106.53,76.2,58.02,49.9
IA,60,ppt,1973,49.85,30.98,100.11,169.49,175.75,117.02,97.51,53.92,182.99,43.21,50.64,70.24
IA,60,ppt,1974,67.46,25.43,65.79,106.95,218.85,158.47,74.53,133.22,36.93,58.96,54.84,44.4
IA,60,ppt,1975,30.83,44.79,72.37,69.92,74.16,104.99,38.76,113.61,50.45,11.41,83.69,22.5
IA,60,ppt,1976,10.86,40.13,103.86,115.19,76.26,75.8,68.56,48.09,25.7,53.01,5.7,7.68
IA,60,ppt,1977,16.19,16.02,113.3,59.6,60.44,73.52,129.91,229.22,119.61,104.97,54.84,36.44
IA,60,ppt,1978,21.83,14.96,21.21,108.56,108.62,99.51,115.79,60.38,119.98,48.98,75.91,47.3
IA,60,ppt,1979,55.69,20.12,76.17,83.08,61.3,97.31,120.95,190.13,9.27,75.82,46.31,32.35
IA,60,ppt,1980,37.85,27.13,23.52,46.28,82.6,121.56,68.82,179.57,129.77,43.96,18.34,45.48
IA,60,ppt,1981,1.19,61.4,6.73,121.75,34.3,134.5,89,183.1,112.99,82.5,64.38,25.66
IA,60,ppt,1982,44.17,8.46,75.33,62.31,126.95,117.56,173.57,85.47,71.37,79.28,94.48,98.15
IA,60,ppt,1983,12.57,37.19,53.41,84.31,109.05,78.14,72.86,51.94,103.07,61.95,118.04,43.72
IA,60,ppt,1984,16.1,23.22,45.54,105.48,112.71,128.84,112.52,22.94,65.38,168.61,67.82,51.13
IA,60,ppt,1985,26.67,52.58,82.9,30.01,74.96,55.55,69.17,70.22,101.58,134.59,116.85,51.55
IA,60,ppt,1986,10.63,43.15,47.41,70.89,188.94,146.45,117.79,108.73,184.33,86.82,27.3,26.84
IA,60,ppt,1987,12.77,0.95,79.27,47.13,80.53,64.87,62.85,252.3,53.42,16.55,83.84,73.12
IA,60,ppt,1988,29.4,13.77,33.66,32.59,35.63,26.83,23.89,106.64,48.55,43.52,72.15,28.18
IA,60,ppt,1989,25.87,15.85,33.88,75.51,57.87,79.12,70.69,112.45,130.3,39.71,6.72,9.7
IA,60,ppt,1990,35.11,26.66,116,60.31,153.43,271.35,118.27,165.84,27.72,52.48,65.76,54.51
IA,60,ppt,1991,23.72,6.18,137.84,94.11,93.79,68.5,10.64,102.35,69.13,99.65,133.95,40.73
IA,60,ppt,1992,28.26,39.18,35.77,101.95,13.32,26.38,266.44,58.96,153.88,16.93,160.12,59.89
IA,60,ppt,1993,40.14,25.94,88.75,115.22,132.9,226.76,259.02,248.21,119.64,20.65,29.55,24.22
IA,60,ppt,1994,25.78,48.01,13.45,44.68,56.5,154.27,93.71,96.75,78.95,19.27,84.91,31.45
IA,60,ppt,1995,31.09,4.01,45.58,160.81,156.62,86.7,83.89,66.54,51.89,50.2,76.83,8.38
IA,60,ppt,1996,55.81,8.7,19.71,50.32,254.26,100.87,71.1,62.99,64.84,94.78,37.36,28.51
IA,60,ppt,1997,31.26,70.8,35.06,34.52,136.86,105.58,38.34,115.91,78.1,76.5,25.51,34.19
IA,60,ppt,1998,31.83,60.62,113.78,105.3,96.18,187.5,44.62,157.5,95.32,168.62,35.14,16.78
IA,60,ppt,1999,48.45,26.13,28.09,145.81,98.44,116.02,129.08,82.31,54.56,27.21,25.75,26.77
IA,60,ppt,2000,26.91,40.13,24.07,87.64,104.16,201.39,106.19,56.45,102.64,31.34,40.98,51.05
IA,60,ppt,2001,45.37,93.04,35.23,74.53,161.49,103.35,78.51,81.51,108.34,95.43,33.53,32.52
IA,60,ppt,2002,12.81,27.04,37.3,117.85,118.35,139.78,154.94,108.23,47.58,119.82,6.44,17.55
IA,60,ppt,2003,10.4,10.86,26.22,64.48,103.7,96.59,109.87,25.25,99.42,33.51,116.92,52.55
IA,60,ppt,2004,21.51,33.21,111.67,32.02,190.47,96.8,73.11,119.81,17.92,92.79,58.5,25.34
IA,60,ppt,2005,57.5,30.27,29.43,49.44,69.18,72.47,42.71,76.44,60.37,14.15,53.69,30.81
IA,60,ppt,2006,53.4,12.94,95.07,99.9,75.84,83.76,105.85,114.18,55.23,53.37,55.74,54.43
IA,60,ppt,2007,20.37,44.54,79.1,117.7,64.27,133.3,147.57,174.66,59.25,106.71,5.78,101.15
IA,60,ppt,2008,26.07,87.92,38.31,178.18,156.13,192.08,155.8,76.08,129.75,49.77,35.03,77.93
IA,60,ppt,2009,22,29.44,106.51,87.7,86.71,139.82,164.58,246.06,37.46,175.22,36.85,83.2
IA,60,ppt,2010,45.28,19.79,39.79,94.5,120.56,236.48,150.91,130.49,114.03,38.55,36.9,46.18
IA,60,ppt,2011,17.66,53.16,57.25,99.13,98.49,127.13,116.26,62.92,59,29.61,83.46,65.74
IA,60,ppt,2012,24.8,39.61,54.75,94.9,52.23,62.19,24.59,97.24,43.43,80.96,35.63,53.09
IA,60,ppt,2013,42.65,45.49,69.25,217.15,185,137.11,54.06,23.63,53.48,64,49.05,25.21
IA,60,ppt,2014,17.01,47.67,18.87,146.19,75.8,235.43,127.15,77.83,126.21,82.37,38.65,25.26
IA,60,ppt,2015,17.81,36.72,18.77,69.59,139.96,216.56,92.07,102.58,97.96,72.46,123.84,121.82
IA,60,tmax,1950,1.62,-0.31,4.28,11.89,22.05,26.36,27.6,26.2,23.74,21.92,6.71,-3.22
IA,60,tmax,1951,-2.51,-0.18,3.41,12.49,23.63,24.56,27.98,27.06,22.26,17.9,4.82,-0.21
IA,60,tmax,1952,0.1,3.69,4.78,17.17,21.64,29.45,30.72,27.44,25.99,17.04,11.15,1.53
IA,60,tmax,1953,0.09,3.08,7.7,12.35,21.69,28.97,29.84,29.94,26.42,22.6,11.76,2.97
IA,60,tmax,1954,-0.14,7.9,6.21,17.81,19.56,29.01,31.17,27.8,26.06,17.43,10.44,1.66
IA,60,tmax,1955,-1.55,0.4,7.39,20.01,24.18,25.33,32.65,32.04,26.7,18.37,6.61,-0.7
IA,60,tmax,1956,-0.32,1.02,6.96,15.55,23.16,29.82,29.06,28.55,24.71,22.54,9.02,2.53
IA,60,tmax,1957,-3.47,3.59,7.8,15.55,21.04,26.65,30.86,29.04,23.09,16.52,7.27,4.79
IA,60,tmax,1958,-1.17,-3.21,6.01,16.41,23.93,24.45,26.9,28.93,24.22,19.91,11.72,-1.29
IA,60,tmax,1959,-3.96,-0.73,6.61,15.72,23.66,28.26,28.39,30.24,24.66,14.34,4.22,4.47
IA,60,tmax,1960,-1.06,-1.38,-0.57,16.77,20.44,25.34,28.63,28.86,26.01,18.1,10.89,0.7
IA,60,tmax,1961,-0.48,4.31,7.53,12.02,20.57,27.85,28.42,28.9,23.92,18.69,8.55,-0.94
IA,60,tmax,1962,-4.6,-1.04,3.51,15.13,25.06,26.86,27.3,28.59,23.24,18.77,9.3,1.14
IA,60,tmax,1963,-7.41,-2.12,9.66,18.22,21.64,29.88,29.49,27.61,24.65,24.74,11.58,-4.64
IA,60,tmax,1964,2.41,3.25,6.52,16.19,25.24,27.58,30.42,27.41,23.85,17.95,12.37,-1.06
IA,60,tmax,1965,-1.45,-0.36,1.17,14.05,24.51,26.62,28.63,27.33,22.11,18.11,10.18,5.23
IA,60,tmax,1966,-4.42,0.73,9.9,13.91,19.93,26.96,31.22,27.71,23.9,18.43,10.16,0.82
IA,60,tmax,1967,1.41,-0.93,8.44,16.12,20.46,26.97,28.22,26.18,22.94,16.69,6.63,2.45
IA,60,tmax,1968,-1.54,0.75,12.49,17.55,20.8,27.94,29.08,28.77,23.52,18.27,7.95,0.51
IA,60,tmax,1969,-4.37,0.72,5.51,16.66,22.53,24.35,28.7,29.2,24.16,15.87,8.9,-0.2
IA,60,tmax,1970,-6.63,1.6,5.61,16.25,24.01,26.86,30.02,28.48,23.91,17.99,7.65,1.83
IA,60,tmax,1971,-3.9,-1.29,4.91,17.82,20.96,30.3,27.6,28.4,26.2,21.93,9.41,2.54
IA,60,tmax,1972,-2.5,-1.91,7.23,13.84,23.41,26.65,28.31,27.93,24.78,15.06,5.34,-1.99
IA,60,tmax,1973,-0.26,1.91,11.66,13.66,19.68,28.03,29.37,29.13,23.19,20.66,9.19,-0.47
IA,60,tmax,1974,-3.04,1.19,8.35,17.48,19.55,25.15,31.37,26.52,22.14,18.06,8.65,1.25
IA,60,tmax,1975,-0.25,-0.8,2.67,12.17,24.25,27.21,30.03,29.29,21.55,20.25,11.85,2.6
IA,60,tmax,1976,-0.95,6.74,9.77,17.68,21.04,27.9,30.15,28.35,24.61,15.08,5.86,-1.76
IA,60,tmax,1977,-8.38,2.52,11.2,19.87,26.64,28.12,31.22,26.17,23.94,16.19,7.83,-2.03
IA,60,tmax,1978,-6.58,-4.81,4.02,16.11,21.03,27.81,28.32,28.73,27.38,16.45,8.78,-1.04
IA,60,tmax,1979,-9.22,-5.78,5.61,12.66,22.31,27.55,28.69,27.65,25.71,17.91,8.1,4.48
IA,60,tmax,1980,-1.19,-2.13,4.91,15.98,23.67,27.09,31.15,29.72,25.03,15.9,9.58,1.36
IA,60,tmax,1981,1.3,3.29,10.56,19.36,21.06,27.63,28.19,27.33,23.82,16.51,10.3,0.19
IA,60,tmax,1982,-6.99,-1.44,5.49,12.93,23.79,24.79,29.1,27.2,22.95,18.76,8.2,4.73
IA,60,tmax,1983,0.21,3,7.69,11.7,19.83,28.15,31.87,32.75,25.02,17.5,9.46,-7.14
IA,60,tmax,1984,-2.78,5.26,2.68,14.18,20.28,28.04,28.53,30.07,23.99,18.16,9.55,3.5
IA,60,tmax,1985,-4.35,-2.55,10.37,18.72,24.36,26.21,30.03,26.56,24.45,16.77,4.55,-5.07
IA,60,tmax,1986,-0.68,-2.35,9.55,18.98,22.08,27.85,29.55,25.63,24.24,16.69,6.14,1.13
IA,60,tmax,1987,0.14,6.87,10.46,18.57,25.47,29.47,31.21,28.06,23.76,15.06,10.71,1.86
IA,60,tmax,1988,-3.44,-1.45,9.32,16.82,25.91,31.09,32.29,31.98,26.02,14.53,9.07,2.41
IA,60,tmax,1989,3.34,-3.21,6.48,15.16,21.31,26.49,30.2,27.9,22.55,18.91,8.29,-4.34
IA,60,tmax,1990,3.96,3.69,9.98,15.42,19.27,26.46,28.01,27.56,25.3,17.06,12.1,-0.56
IA,60,tmax,1991,-4.35,2.92,9.9,16.98,23.96,29.08,30.17,28.74,24.03,17.08,4.27,2.43
IA,60,tmax,1992,1.15,3.81,9.27,13.65,22.96,27.04,25.69,25.21,22.02,17.09,4.46,0.03
IA,60,tmax,1993,-2.23,-2.13,4.25,13,21.78,25.22,27.2,27.44,20.03,16.46,7.01,0.85
IA,60,tmax,1994,-6.43,-2.71,8.81,17.22,22.36,28.18,27.41,26.49,24.26,18.76,10.08,3.01
IA,60,tmax,1995,-3.51,1.33,9.4,13.37,19.83,27.86,29.54,30.96,22.7,17.65,4.6,-0.16
IA,60,tmax,1996,-2.33,-0.42,5.17,15,18.57,26.2,27.51,27.54,22.77,17.92,3.33,-1.33
IA,60,tmax,1997,-3.92,0.57,8.97,13.3,18.78,27.24,28.67,26.29,24.18,17.7,5.27,0.86
IA,60,tmax,1998,-0.64,5.79,5.91,15.19,24.43,25.23,28.89,28.07,26.44,17.44,10.06,4.98
IA,60,tmax,1999,-4.18,5.15,7.53,15.95,22.22,26.74,30.83,26.78,24.03,18.29,14.09,2.16
IA,60,tmax,2000,-0.79,4.42,12.75,16.34,23.32,25.55,27.34,27.86,25.16,19.52,6.4,-6.59
IA,60,tmax,2001,-1.94,-1.71,4.17,18.63,22.32,25.23,29.44,28.59,22.61,16.32,15.18,4.45
